6,11,11,11,11,11,11,4,22,80,81,82,10,12,23,20,6,11,11,11
20,5,5,5,5,5,6,12,70,96,74,92,10,12,70,72,20,6,11,11
1,2,7,8,9,3,16,12,80,74,92,0,26,12,80,94,72,20,6,11
11,12,17,3,19,3,16,12,80,94,72,10,11,12,80,81,94,72,10,11
11,12,15,54,3,0,26,12,90,76,82,10,11,12,90,91,91,92,10,11
4,22,45,56,0,26,11,12,23,80,82,20,21,22,45,3,3,0,26,11
24,2,54,0,26,11,4,22,3,80,94,71,72,13,54,23,33,20,6,11
11,12,54,20,6,4,22,45,3,80,81,81,82,3,54,3,3,23,10,11
4,22,54,13,20,22,45,56,70,96,81,81,82,23,54,3,33,3,10,11
22,33,54,33,3,3,54,43,80,81,81,74,92,3,54,3,23,3,20,21
33,13,54,43,13,43,57,3,80,81,81,82,44,44,56,70,71,71,71,71
25,2,54,13,3,13,54,15,80,81,81,94,71,71,71,96,81,81,81,81
11,12,55,44,44,44,58,46,90,91,91,76,81,81,81,81,81,81,81,81
11,24,1,1,2,33,13,54,23,43,3,90,91,91,91,91,76,81,81,81
11,4,5,5,22,0,2,54,3,3,3,33,0,1,2,13,90,91,91,76
6,12,30,31,32,10,12,54,3,13,23,33,20,5,22,33,43,23,13,90
26,12,40,41,42,20,22,57,44,44,44,44,44,3,3,23,43,3,3,3
11,12,50,3,52,3,23,54,0,1,1,2,70,71,71,72,33,23,13,23
11,24,2,44,44,44,44,56,10,11,11,12,80,81,81,94,71,71,72,13
11,11,12,15,3,0,1,1,26,11,11,12,80,81,81,81,81,81,82,23
